state,county,geoid,namelsad,area_weighted_pm
1,1,1001,Autauga County,6.129144281207118
1,3,1003,Baldwin County,7.360231876678881
1,5,1005,Barbour County,5.735266953706741
1,7,1007,Bibb County,6.10709086060524
1,9,1009,Blount County,5.685909897089005
1,11,1011,Bullock County,5.569295820314437
1,13,1013,Butler County,5.573324859142303
1,15,1015,Calhoun County,6.312280582264066
1,17,1017,Chambers County,5.861482262611389
1,19,1019,Cherokee County,6.005558966775425
1,21,1021,Chilton County,6.24538316950202
1,23,1023,Choctaw County,5.734286576509476
1,25,1025,Clarke County,5.577284820377827
1,27,1027,Clay County,5.645022198557854
1,29,1029,Cleburne County,5.371789475902915
1,31,1031,Coffee County,5.357552064000629
1,33,1033,Colbert County,5.048534259200096
1,35,1035,Conecuh County,5.480566669255495
1,37,1037,Coosa County,5.870553612709045
1,39,1039,Covington County,5.378788828849792
1,41,1041,Crenshaw County,5.565399572718889
1,43,1043,Cullman County,5.691461600363255
1,45,1045,Dale County,5.430974833667278
1,47,1047,Dallas County,5.8163777833106
1,49,1049,DeKalb County,5.126203581312438
1,51,1051,Elmore County,6.381378419500834
1,53,1053,Escambia County,5.342578828334808
1,55,1055,Etowah County,5.773970395326614
1,57,1057,Fayette County,5.392559468746185
1,59,1059,Franklin County,4.908787842839956
1,61,1061,Geneva County,5.227168911049375
1,63,1063,Greene County,5.464885371737182
1,65,1065,Hale County,5.847346752882004
1,67,1067,Henry County,5.921072483062744
1,69,1069,Houston County,5.90786088258028
1,71,1071,Jackson County,4.80434331552533
1,73,1073,Jefferson County,6.314383693039417
1,75,1075,Lamar County,5.123656928539276
1,77,1077,Lauderdale County,5.528265885077417
1,79,1079,Lawrence County,5.368336739949882
1,81,1081,Lee County,6.145265445113182
1,83,1083,Limestone County,5.862552508711815
1,85,1085,Lowndes County,5.721189901232719
1,87,1087,Macon County,6.024799899183563
1,89,1089,Madison County,5.19478138582781
1,91,1091,Marengo County,5.840469986200333
1,93,1093,Marion County,5.000517874956131
1,95,1095,Marshall County,5.650483870878816
1,97,1097,Mobile County,7.500714753754437
1,99,1099,Monroe County,5.551351696252823
1,101,1101,Montgomery County,5.875959679484367
1,103,1103,Morgan County,5.682110958034173
1,105,1105,Perry County,5.709313243627548
1,107,1107,Pickens County,5.454630985856056
1,109,1109,Pike County,5.442329734563828
1,111,1111,Randolph County,5.412980645895004
1,113,1113,Russell County,5.947946571512148
1,115,1115,St. Clair County,6.187501321081072
1,117,1117,Shelby County,6.665135651826859
1,119,1119,Sumter County,5.645043810363859
1,121,1121,Talladega County,6.184832172468305
1,123,1123,Tallapoosa County,6.17751082777977
1,125,1125,Tuscaloosa County,6.227596421726048
1,127,1127,Walker County,6.183456838130951
1,129,1129,Washington County,5.4368581995368
1,131,1131,Wilcox County,5.718202213116456
1,133,1133,Winston County,5.450847893953323
4,1,4001,Apache County,1.602758238019305
4,3,4003,Cochise County,2.106329565838678
4,5,4005,Coconino County,1.265685692966031
4,7,4007,Gila County,1.998381010183948
4,9,4009,Graham County,1.924383054898726
4,11,4011,Greenlee County,3.56457390752621
4,12,4012,La Paz County,1.862714945338666
4,13,4013,Maricopa County,2.398811487172253
4,15,4015,Mohave County,1.510914806525392
4,17,4017,Navajo County,1.32515547022922
4,19,4019,Pima County,2.362646699266406
4,21,4021,Pinal County,2.930520989000797
4,23,4023,Santa Cruz County,2.162820075172931
4,25,4025,Yavapai County,1.702554440140375
4,27,4027,Yuma County,2.024238746147603
5,1,5001,Arkansas County,4.734870977699757
5,3,5003,Ashley County,5.760761537589133
5,5,5005,Baxter County,4.946258393116295
5,7,5007,Benton County,5.9792545363307
5,9,5009,Boone County,5.013833165168762
5,11,5011,Bradley County,6.551942765712738
5,13,5013,Calhoun County,7.106583878397942
5,15,5015,Carroll County,5.046166285872459
5,17,5017,Chicot County,4.778746171854436
5,19,5019,Clark County,6.323204234242439
5,21,5021,Clay County,4.771341778337955
5,23,5023,Cleburne County,5.335235510021448
5,25,5025,Cleveland County,6.417855566833168
5,27,5027,Columbia County,6.103327751159668
5,29,5029,Conway County,5.473976891487837
5,31,5031,Craighead County,4.944978535175323
5,33,5033,Crawford County,5.732390768826008
5,35,5035,Crittenden County,4.911043713334948
5,37,5037,Cross County,4.798325821757317
5,39,5039,Dallas County,6.659732520580292
5,41,5041,Desha County,4.699773836880922
5,43,5043,Drew County,5.601826660335064
5,45,5045,Faulkner County,5.834355778992176
5,47,5047,Franklin County,5.046830147504807
5,49,5049,Fulton County,4.762714934302494
5,51,5051,Garland County,6.052228845655918
5,53,5053,Grant County,6.364684820175171
5,55,5055,Greene County,4.775846466422081
5,57,5057,Hempstead County,5.620935991406441
5,59,5059,Hot Spring County,6.374753192067146
5,61,5061,Howard County,5.311775200068951
5,63,5063,Independence County,5.037131279706955
5,65,5065,Izard County,4.829337567090988
5,67,5067,Jackson County,4.821148931980133
5,69,5069,Jefferson County,5.513141989707947
5,71,5071,Johnson County,4.930750884115696
5,73,5073,Lafayette County,5.708199761807919
