state,county,stname,ctyname,total,nonhisp_white,nonhisp_black,nonhisp_NA_alaska,nonhisp_hawai_pacific,nonhisp_asian,hisp_white,hisp_black
1,1,Alabama,Autauga County,55869,41215,11098,243,40,646,1392,139
1,3,Alabama,Baldwin County,223234,185747,19215,1507,123,2346,9451,378
1,5,Alabama,Barbour County,24686,11235,11807,95,31,116,899,99
1,7,Alabama,Bibb County,22394,16663,4719,91,6,46,528,44
1,9,Alabama,Blount County,57826,50176,872,282,21,163,5236,106
1,11,Alabama,Bullock County,10101,2121,6978,25,5,16,568,119
1,13,Alabama,Butler County,19448,9937,8680,72,7,270,190,67
1,15,Alabama,Calhoun County,113605,81464,23855,472,105,987,3858,358
1,17,Alabama,Chambers County,33254,18331,13231,82,8,356,639,134
1,19,Alabama,Cherokee County,26196,24014,1069,159,1,98,395,4
1,21,Alabama,Chilton County,44428,35481,4412,160,14,195,3196,184
1,23,Alabama,Choctaw County,12589,7091,5234,24,0,22,100,21
1,25,Alabama,Clarke County,23622,12309,10569,112,5,99,209,66
1,27,Alabama,Clay County,13235,10634,1786,66,0,33,381,38
1,29,Alabama,Cleburne County,14910,13839,410,67,1,31,337,14
1,31,Alabama,Coffee County,52342,36338,8930,587,72,830,3331,286
1,33,Alabama,Colbert County,55241,42935,8839,325,32,367,1505,120
1,35,Alabama,Conecuh County,12067,6077,5485,59,2,27,168,75
1,37,Alabama,Coosa County,10663,6945,3253,43,1,16,173,41
1,39,Alabama,Covington County,37049,30774,4581,241,2,175,537,57
1,41,Alabama,Crenshaw County,13772,9677,3250,84,2,152,262,39
1,43,Alabama,Cullman County,83768,76796,1045,461,49,585,3392,111
1,45,Alabama,Dale County,49172,33425,10058,318,68,697,2848,256
1,47,Alabama,Dallas County,37196,10032,26158,87,12,159,227,142
1,49,Alabama,DeKalb County,71513,57103,1057,877,46,258,9200,283
1,51,Alabama,Elmore County,81209,59351,16978,314,67,589,2110,201
1,53,Alabama,Escambia County,36633,22094,11353,1374,21,111,721,97
1,55,Alabama,Etowah County,102268,79207,15876,391,44,791,3294,226
1,57,Alabama,Fayette County,16302,13703,1875,58,0,72,277,26
1,59,Alabama,Franklin County,31362,23893,1184,148,35,81,4864,189
1,61,Alabama,Geneva County,26271,21951,2402,240,11,78,944,43
1,63,Alabama,Greene County,8111,1423,6443,19,0,22,77,39
1,65,Alabama,Hale County,14651,5819,8450,34,1,44,144,50
1,67,Alabama,Henry County,17205,11964,4374,71,3,64,351,80
1,69,Alabama,Houston County,105882,69963,28685,435,61,1095,2909,291
1,71,Alabama,Jackson County,51626,45971,1725,717,29,246,1202,78
1,73,Alabama,Jefferson County,658573,326091,284126,1347,231,11686,23425,2135
1,75,Alabama,Lamar County,13805,11874,1399,29,1,14,209,27
1,77,Alabama,Lauderdale County,92729,78425,9143,341,28,702,2208,146
1,79,Alabama,Lawrence County,32924,25122,3543,1835,6,70,635,39
1,81,Alabama,Lee County,164542,111364,37261,405,83,6782,5047,477
1,83,Alabama,Limestone County,98915,75002,13409,598,82,1619,5119,353
1,85,Alabama,Lowndes County,9726,2442,6980,30,4,35,85,63
1,87,Alabama,Macon County,18068,2974,14396,41,2,102,156,126
1,89,Alabama,Madison County,372909,240537,90968,2561,321,9869,16291,1741
1,91,Alabama,Marengo County,18863,8380,9678,39,8,53,413,60
1,93,Alabama,Marion County,29709,27252,1120,108,9,88,687,27
1,95,Alabama,Marshall County,96774,77249,2490,586,103,620,12565,588
1,97,Alabama,Mobile County,413210,233547,148488,3652,108,8494,10298,1221
1,99,Alabama,Monroe County,20733,11218,8445,266,4,93,259,51
1,101,Alabama,Montgomery County,226486,74059,133283,485,92,7353,6363,1073
1,103,Alabama,Morgan County,119679,89827,15196,946,87,763,9287,469
1,105,Alabama,Perry County,8923,2601,6029,24,6,56,97,34
1,107,Alabama,Pickens County,19930,10682,7885,48,3,60,886,80
1,109,Alabama,Pike County,33114,18478,12406,209,4,601,558,123
1,111,Alabama,Randolph County,22722,17131,4340,92,22,95,588,30
1,113,Alabama,Russell County,57961,26562,25838,276,138,470,2384,526
1,115,Alabama,St. Clair County,89512,76431,8534,280,38,782,1878,116
1,117,Alabama,Shelby County,217702,168091,28607,576,76,4852,11598,390
1,119,Alabama,Sumter County,12427,3098,8824,19,1,238,89,49
1,121,Alabama,Talladega County,79978,49800,26183,254,17,540,1442,228
1,123,Alabama,Tallapoosa County,40367,27733,10756,156,9,222,739,145
1,125,Alabama,Tuscaloosa County,209355,127285,67359,484,78,3304,7156,506
1,127,Alabama,Walker County,63521,56437,3848,273,29,322,1323,86
1,129,Alabama,Washington County,16326,10606,3777,1263,13,184,170,27
1,131,Alabama,Wilcox County,10373,2786,7314,23,1,21,82,57
1,133,Alabama,Winston County,23629,22046,214,143,10,73,616,22
2,13,Alaska,Aleutians East Borough,3337,302,302,657,39,1427,403,38
2,16,Alaska,Aleutians West Census Area,5634,1332,367,619,138,2174,580,31
2,20,Alaska,Anchorage Municipality,288000,164464,15359,23808,7740,28106,19206,1836
2,50,Alaska,Bethel Census Area,18386,1763,174,15117,30,179,129,1
