Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1,1,D24HourMean,QuarterlyMean,Mean,1.01162
1,2,D24HourMean,QuarterlyMean,Mean,1.0014
1,3,D24HourMean,QuarterlyMean,Mean,0.997777
1,4,D24HourMean,QuarterlyMean,Mean,0.998697
1,5,D24HourMean,QuarterlyMean,Mean,0.998001
1,6,D24HourMean,QuarterlyMean,Mean,1.0055
1,7,D24HourMean,QuarterlyMean,Mean,1.0169
1,8,D24HourMean,QuarterlyMean,Mean,1.02996
1,9,D24HourMean,QuarterlyMean,Mean,1.04545
1,10,D24HourMean,QuarterlyMean,Mean,1.06258
1,11,D24HourMean,QuarterlyMean,Mean,1.08205
1,12,D24HourMean,QuarterlyMean,Mean,1.10383
1,13,D24HourMean,QuarterlyMean,Mean,1.12516
1,14,D24HourMean,QuarterlyMean,Mean,1.1438
1,15,D24HourMean,QuarterlyMean,Mean,1.16143
1,16,D24HourMean,QuarterlyMean,Mean,1.17541
1,17,D24HourMean,QuarterlyMean,Mean,1.18558
1,18,D24HourMean,QuarterlyMean,Mean,1.1929
1,19,D24HourMean,QuarterlyMean,Mean,1.20189
1,20,D24HourMean,QuarterlyMean,Mean,1.21282
1,21,D24HourMean,QuarterlyMean,Mean,1.22455
1,22,D24HourMean,QuarterlyMean,Mean,1.236
1,23,D24HourMean,QuarterlyMean,Mean,1.2485
1,24,D24HourMean,QuarterlyMean,Mean,1.25648
1,25,D24HourMean,QuarterlyMean,Mean,1.26474
1,26,D24HourMean,QuarterlyMean,Mean,1.27524
1,27,D24HourMean,QuarterlyMean,Mean,1.28705
1,28,D24HourMean,QuarterlyMean,Mean,1.30118
1,29,D24HourMean,QuarterlyMean,Mean,1.31735
1,30,D24HourMean,QuarterlyMean,Mean,1.33275
1,31,D24HourMean,QuarterlyMean,Mean,1.34662
1,32,D24HourMean,QuarterlyMean,Mean,1.35809
1,33,D24HourMean,QuarterlyMean,Mean,1.37126
1,34,D24HourMean,QuarterlyMean,Mean,1.38475
1,35,D24HourMean,QuarterlyMean,Mean,1.39664
1,36,D24HourMean,QuarterlyMean,Mean,1.41257
1,37,D24HourMean,QuarterlyMean,Mean,1.43239
1,38,D24HourMean,QuarterlyMean,Mean,1.44657
1,39,D24HourMean,QuarterlyMean,Mean,1.45941
1,40,D24HourMean,QuarterlyMean,Mean,1.47462
1,41,D24HourMean,QuarterlyMean,Mean,1.48858
1,42,D24HourMean,QuarterlyMean,Mean,1.50368
1,43,D24HourMean,QuarterlyMean,Mean,1.51976
1,44,D24HourMean,QuarterlyMean,Mean,1.53212
1,45,D24HourMean,QuarterlyMean,Mean,1.54222
1,46,D24HourMean,QuarterlyMean,Mean,1.54474
